name,city,state,address,pincode,contact,store_type,weekdays_timing,map_location
IYYAPPANTHANGAL,CHENNAI,TAMIL NADU,"No. 144, Ponnamallee High Road, Iyyappanthangal, Chennai - 600054",600054,7448807653,Supermarket,,
JAFERKHAN COLONY,CALICUT,KERALA,"LUXUARY BUILDING,JAFERKHAN COLONY ,
NEAR PALARIVATTOM, CALICUT
",673001,9961994498,Supermarket,,
"JAIN'S ALPINES, PALLAVARAM",CHENNAI,TAMIL NADU,"Jains Alpine Meadows, Tiruneermalai Main Road, Pallavaram, Chennai - 600044",632401,7092064777,Supermarket,,
JONES ROAD,VELLORE,TAMIL NADU,"232&223, South Service Road, Phase-1, Sathuvachari, Vellore- 632009",632009,7448807630,Supermarket,,
JS MALL,PUNE,MAHARASHTRA,"Jawalkar Nagar,Near Kalptaru Estate ,Pimple Gurav",411027,8668511445,Supermarket,,
KADAPPAKADA KOLLAM,KOLLAM,KERALA,"Issac Square,town Limit,kadappakada",691008,9946036688,Supermarket,,
KAITHAVANA ALEPPY,ALAPPUZHA,KERALA,"Thyvelikkakam Arcade,Sanathanapuram PO , Kithavana, Alappuzha,Kerala",688003,9946036055,Supermarket,,
KAKKANAD,ERANAKULAM,KERALA,"IMAGE BUILDINGS, NEAR TV CENTER,SEA PORT-AIR PORT ROAD,KAKKANADU682031/30, ERNAKULAM.
",682031,9961994440,Supermarket,,
KALPAKKAM,KALPAKKAM,TAMIL NADU,"More For You,Shop No:1,Bhavani Township,Neikuppi,Anupuram,Kalpakkam 603102",603102,8680054690,Supermarket,,
KANCHEEPURAM,KANCHEEPURAM,TAMIL NADU,"Old No. 33, New No. 68, West Raja Street, Kancheepuram 631502",631502,7448807627,Supermarket,,
KANGARAPPADI,ERANAKULAM,KERALA,"Alias Business Centre,Vadacode PO Kangarappadi",678004,9946036602,Supermarket,,
KANJIRAPALLI,KOTTAYAM,KERALA,"Madukkakakuzhy Arcade,Kurishumkal Junction,Kanjirapalli",686507,7510664999,Supermarket,,
KARUKACHAL,KOTTAYAM,KERALA,"Manjappallil Building, Karukachal-Vazhoor Road, Karukachal P.O, Kottayam",686540,7510113335,Supermarket,,
KATPADI,KATPADI,TAMIL NADU,"Plot No. 62 7th East Main Road,Gandhi Nagar, Katpadi, TN 632006",632006,7448807648,Supermarket,,
KATTAPPANA,IDUKKI,KERALA,"Nedumparambil Building,School Junction,kattapana",685515,9946036386,Supermarket,,
KAYAMKULAM,ALAPPUZHA,KERALA,"Centre Point, Near Post Office, KP Road, Kayamkulam ,Alappuzha District ",690502,9961883424,Supermarket,,
KAYARAMBEDU,CHENGALPET,TAMIL NADU,"Ground Floor, Nellikuppam Main Road, Moolazahani, Kayarambedu – 603202.",603002,9345164283,Supermarket,,
KESAVAMPADY,ERANAKULAM,KERALA,"Palakkattu Buildings, 
Kesavanpady, Thiruvankulam, Cochin-682305",682305,9961883450,Supermarket,,
KODAMBAKKAM,CHENNAI,TAMIL NADU,"New No.116, Rangarajapuram Road,KodambakkamChennai 600 024",600024,7448807614,Supermarket,,
KOLENCHERRY,ERANAKULAM,KERALA,"ELLORA TOWERS
OPP.INDIAN OIL PETROL PUMP.,MOOVATTUPUZHA ROAD
KOLENCHERY, ERNAKULAM DIST
",682311,9961994441,Supermarket,,
KONNI,PATHANMTHITTA,KERALA,"PKP Building,near Taluk Hospital,konni-",689691,7025250044,Supermarket,,
KOOTHATTUKULAM,KOTTAYAM,KERALA,"Emcees Complex,opp Telephone Exchange,MC Road,koothattukulam",686662,7025250033,Supermarket,,
KOOVAPADEM,ERANAKULAM,KERALA,"GROUND FLOOR   NEW BUILDING
OPP. SHANTHI NAGAR,JAWAHAR ROAD
KOOVAPPADAM,KOCHI - 682 002
",682002,9961994447,Supermarket,,
KORATTUR,CHENNAI,TAMIL NADU,"Plot.No.1,1b And 12,Vigneshwara Nagar,Medavakkam Main Road,Ullannagaram Village,Madipakkam,Chennai-600091",600041,7448807660,Supermarket,,
KOTHRUD,PUNE,MAHARASHTRA,"Hotel Golden Palm Cts No 82/24 Shastri Nagar , Kothrud , Pune411038",411038,9850180096,Supermarket,,
KOTTARAKKARA,KOLLAM,KERALA,"JMS Tower,Kizhakketheruvu Po,Kottarakkara",691531,9946036337,Supermarket,,
KOTTAYAM,KOTTAYAM,KERALA,"VALAYIL BUILDINGS
NEAR CATHOLIC SYRIAN BANK,KALATHILPADY JN
KOTTAYAM10
",686010,9961994442,Supermarket,,
