name,city,state,address,pincode,contact,store_type,weekdays_timing,map_location
"MORE SUPERMARKET
",PATIALA,PUNJAB,"Sirhind Road, Opposite Hemkunt Petrol Pump, Azad Nagar, Patiala, Punjab 147001",147001,7717303826,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3442.6425541757885!2d76.40137161512264!3d30.36110698176812!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x5fd5a400343a003%3A0xe6cf6ae53cc5b528!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596698621877!5m2!1sen!2sin
"MORE SUPERMARKET
",NABHA,PUNJAB,"Hira Mahal Colony, Nabha, Punjab 147201",147201,7717303831,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d6884.080474414394!2d76.1593994!3d30.3782153!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3910399bc6ef54ef%3A0x55dd1f9c2e4a87b8!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596698667292!5m2!1sen!2sin
"MORE SUPERMARKET
",FARIDABAD,DELHI NCR,"Shop No 170, Huda Market, Sector 7, Faridabad, Haryana 121006",121006,8595411080,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d112279.0527138524!2d77.2379243!3d28.4276925!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x198ff5199d057841%3A0xad6da7ac014d7298!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596700852326!5m2!1sen!2sin
"MORE SUPERMARKET
",FARIDABAD,DELHI NCR,"SCF 12, 13,14, Ashoka Enclave 3, Ashoka Enclave Part 3, Subash Nagar, Sector 35, Faridabad, Haryana 121003",121003,8595421381,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d112278.77043447972!2d77.2379241!3d28.4279586!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x79f84335b5e2bf5%3A0xa6dbc870251cbceb!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596700893288!5m2!1sen!2sin
"MORE SUPERMARKET
",GURGAON,DELHI NCR,"SCO-59, 60, Near, HUDA Market Rd, Near Apollo Clinic, Block B, Sector 56, Gurugram, Haryana 122002",122002,8595423657,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d224467.60161408474!2d77.1610827!3d28.4703216!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x19f5d7527af3be81%3A0x5cf12b47d143e73f!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596700944889!5m2!1sen!2sin
"MORE SUPERMARKET
",FARIDABAD,DELHI NCR,"Scf-62 & 63, Below Icici Bank, Mkt, Sector 15, Faridabad, Haryana 121007",121007,8595432532,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d224466.62390732908!2d77.1610819!3d28.4707818!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cdc504c0a4ffb%3A0xe770110002347cd9!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596700989897!5m2!1sen!2sin
"MORE SUPERMARKET
",GURGAON,DELHI NCR,"G/1 Orchid Business Park, Sohna Rd, Opp. Bikaner Wala, Subhash Chowk, Gurugram, Haryana 122001",122001,8595434896,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d224464.66887529564!2d77.1610804!3d28.471702!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d187457608bf5%3A0x8c9273f43a66d4ec!2sMore%20Hypermart!5e0!3m2!1sen!2sin!4v1596701044684!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Mahalaxmi Complex, Abhay Khand 2, Shanti Vihar, Abhay Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201010",201010,8595418416,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28013.072648974347!2d77.3439119!3d28.6407271!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfb1821d9101d%3A0xd0407cdad48bc806!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596701155257!5m2!1sen!2sin
"MORE SUPERMARKET
",FARIDABAD,DELHI NCR,"Aravali Vihar, Sainik Colony, Sector 49, Faridabad, Haryana 121012",121012,8595432563,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3509.712261681122!2d77.2703111150773!3d28.397757482511015!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cde884a77c8c1%3A0x85f39e05ab3f9c0d!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596701216977!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"CS 1/2, Shipra Riviera, Gyan Khand III, Indirapuram, Ghaziabad, Uttar Pradesh 201014",201014,8595432410,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d449192.60087077133!2d77.0137032!3d28.4096843!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfac9026e7281%3A0x7cacb2705cc6e131!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596701260180!5m2!1sen!2sin
"MORE SUPERMARKET
",FARIDABAD,DELHI NCR,"Near Park Plaza Hotel, Huda Market, Sector 21C, Faridabad, Haryana 121001",121001,8595416016,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3508.637818132208!2d77.29402181507807!3d28.430183482498116!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cdd6b6e5c3797%3A0xf70f580b1bca8e85!2smore%20supermarket!5e0!3m2!1sen!2sin!4v1596701297741!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"11, 58, Pusa Rd, Opp. MTNL Exchange, Block 11, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110012",110012,8595425369,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d30676404.17060969!2d64.4300476!3d20.1891181!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d02ce4d955555%3A0xdd46442ea4a75063!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596701340466!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"5A, 3A, Block 4A, Tilak Nagar, New Delhi, Delhi 110018",110018,8595406906,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14005.592358935355!2d77.164667!3d28.6477967!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d02ce4d955555%3A0xdd46442ea4a75063!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702530114!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"J14, J14/15, Vikaspuri Rd, Near Durga Mata Mandir, Block J, Vikaspuri, New Delhi, Delhi 110018",110018,8595422818,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3501.6051230915164!2d77.0773677150828!3d28.64159468241421!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d04ed4de9052f%3A0x90f2717b99c9cfde!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702232468!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"Hari Nagar Gandhi Market, C-63, Gandhi Market Hari Nagar, New Delhi-64, Delhi 110064",110064,8595436517,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14008.505739672439!2d77.1033973!3d28.6259725!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d034571906f3f%3A0x2ba8e20833065d2!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702288876!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"38 Ground Floor, J-12, Block J, Rajouri Garden Extension, Rajouri Garden, New Delhi, Delhi 110027",110027,8595438951,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14006.448621160132!2d77.1131488!3d28.641384!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d036ba2857e41%3A0x49e8c38913c4582d!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702346827!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"G-15, Tulsi Rd, Prashant Vihar, Sector 14, Rohini, Delhi, 110085",110085,8595411093,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d13996.55029818683!2d77.1262242!3d28.7154343!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d0164e362f73f%3A0xa2e0dd99147134d2!2sMore%20Retail!5e0!3m2!1sen!2sin!4v1596702390311!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"F14/63, 9, Model Town Phase 2, Phase 2, Model Town, Delhi, 110009",110009,8595432650,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d13997.471644145053!2d77.1821057!3d28.708549!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d0201e4de6af9%3A0x6ec135b49fd41e30!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702655581!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"J-E-12, Behind Main Mkt, Gupta Colony, Panchsheel Extension, Malviya Nagar, New Delhi, Delhi 110017",110017,8595422738,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14020.650704362013!2d77.2009749!3d28.5348297!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1bce5ca792cbd085%3A0xabebfa47228e761a!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702713023!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"C-17/18, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh 201012",201012,8595442248,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28008.972180008706!2d77.335691!3d28.6560798!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfa97b0f39937%3A0x4fc1bf66027f7d0c!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702753993!5m2!1sen!2sin
"MORE SUPERMARKET
",NODIA,DELHI NCR,"Shop No 9, 10,11,12,13, Market, Near Metro Hospital, Block L, Budh Vihar, Noida, Uttar Pradesh 201301",201301,8595418626,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28024.600388182498!2d77.3181268!3d28.5975253!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x891a7ca479de1bd%3A0x4064b4dce7db467f!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702801136!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Shop No. 2, 26 To 30, Lower Ground Floor, City Mall, Sector 6, Vasundhara, Ghaziabad, Uttar Pradesh 201012",201012,8595448997,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d7001.903797038038!2d77.3655662!3d28.6611589!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x19f1cac66e5aff0d%3A0x6b86cbde5f7c4d82!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596702854902!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Ashiana Greens, Ahinsa Khand 2, Ashiana Greens, Indirapuram, Ghaziabad, Uttar Pradesh 201014",201014,8595408502,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3501.6426296210525!2d77.37983351508275!3d28.64047098241463!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cf001b810d683%3A0xb12697e38e025e36!2sMore%20(Aditya%20Birla%20Grp.%20Ltd)!5e0!3m2!1sen!2sin!4v1596702988217!5m2!1sen!2sin
"MORE SUPERMARKET
",DELHI,DELHI NCR,"Soul City Mall,Hotel Radisson Blue, Sector 13, Dwarka, Delhi, 110078",110078,8595422069,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3503.0998539588863!2d77.03379861508186!3d28.596781082431885!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390d1ac857eee039%3A0xc68dcacafa304a5e!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703279488!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Orbit Plaza, Township, Crossings Republik, Ghaziabad, Uttar Pradesh 201016",201016,8595427918,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d224197.89870928728!2d77.2549427!3d28.5970117!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cee30733be30b%3A0x8cc928a4c03f84b2!2sMore%20Store%20Supermarket!5e0!3m2!1sen!2sin!4v1596703352112!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Shop No:- 3 , Plot No:- 22, G.F, Sarvottam Haweli, Vasundhara, Ghaziabad, Uttar Pradesh 201102",201102,8595426103,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28011.96650276104!2d77.3541035!3d28.6448694!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfa98ffffffff%3A0x26cdbdfa8e63b0d8!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703401050!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Adjacent To, Nipun Wonder Mall, St. Teressa School, Shakti Khand 2, Indirapuram, 201010",201010,8595439025,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d448152.75051001186!2d77.1124404!3d28.6539284!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfaafbdd8d1ad%3A0xa49e388af68a795b!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703477663!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Delhi Public School, Gaur Valerio, Kinauni Village, Opp, DPS) Indirapuram, Shopping Complex, Ahinsa Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014",201014,8595418695,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d449550.5774375648!2d77.3975034!3d28.325155!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cf115881d4cd7%3A0xd590642ea8a415d2!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703528807!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"H1, Pratap Vihar Road, Sector 9, Vijay Nagar, Ghaziabad, Uttar Pradesh 201009",201009,8595416630,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28012.116799623258!2d77.3959!3d28.6443066!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cf02b50000001%3A0xe5c6a7982c3e10ee!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703750756!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Supertech Plaza, Lower Ground, Shoprix, Vaishali, Ghaziabad, Uttar Pradesh 201010",201010,8595410161,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28010.944423105157!2d77.3295511!3d28.6486964!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfad10ec8cb87%3A0x3aef9db91bd1bf88!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703807461!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"D Block, Dhanwantri Puram, Shastri Nagar, Ghaziabad, Uttar Pradesh 201002",201002,8595424792,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3500.5354354296423!2d77.46412721508358!3d28.673625682401543!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4292cb52ccc3ea1%3A0xdc3303894c999b65!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703862197!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"10 / 51, Ground Floor, Adjoining Gurudwara, Block 10, Sector 10, Raj Nagar, Ghaziabad, Uttar Pradesh 201002",201002,8595408414,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28004.287327848408!2d77.4487489!3d28.6736113!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xf3f66a6444798eb%3A0x1e82413f4c401562!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703926421!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"PLOT NO – 94 UGF, Rajender Nagar, Sector 5, Sahibabad, Ghaziabad, Uttar Pradesh 201005",201005,8595411430,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14001.000534803019!2d77.3522132!3d28.6821633!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x186b1ab47d07f507%3A0x45f6c14b9e709bcd!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703975176!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"G-6, Part, Rakesh Marg, Nehru Nagar III, Ghaziabad, Uttar Pradesh 201005",201005,8595406044,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d112007.84257110672!2d77.290927!3d28.6823145!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1a09e28027b47ed1%3A0x22f6a15bc6c2d106!2sMore%20Supermarket%20Rakesh%20Marg%20Gzb!5e0!3m2!1sen!2sin!4v1596704035501!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Gaur Green Vista, National Highway, 24, Makanpur Rd, Nyay Khand I, Indirapuram, Ghaziabad, Uttar Pradesh 201001",201001,8595409172,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d28010.982482923162!2d77.3243178!3d28.6485539!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1bef255848038c51%3A0x5ffd53f4584ac58f!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596704183351!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Ground Floor, Metro Station, Near Vaishali Metro Station, Gaur Ganga 2, Sector 4, Vaishali, Ghaziabad, Uttar Pradesh 110034",110034,8595424713,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3501.376783846829!2d77.33963881508295!3d28.64843488241153!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfad187418013%3A0x6cc857fadc0f4f83!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596704229349!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Sahni Rd, Anand Vihar, Kaushambi, Ghaziabad, Uttar Pradesh 201010",201010,8595417663,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14005.498452772885!2d77.3330727!3d28.6484999!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfb2f0cee8243%3A0x6ee1718e5d22a22f!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596704267228!5m2!1sen!2sin
"MORE SUPERMARKET
",GHAZIABAD,DELHI NCR,"Sector 12, Vasundhara, Ghaziabad, Uttar Pradesh 201012",201012,8595404228,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3501.0014483579607!2d77.3644714!3d28.6596753!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x390cfabd4dbda8ef%3A0xa8bd6bc38356becb!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596704315728!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"117, NH 4, Next To Mai Mangeshkar Hospital, Warje, Pune, Maharashtra 411058",411058,,Supermarket,7:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d30267.695710889635!2d73.7902171!3d18.5080148!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2bfd3ed43a0af%3A0xa2b1e83cc2e1c8c7!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537117327!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Om Super Market, Monoplex Plaza, Survey No CTS No 1020/7 Gokhale Road, Model Colony, Near, Shivajinagar, Pune, Maharashtra 411016",411016,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d60519.737354836965!2d73.8212061!3d18.5522246!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1a451afb78447741%3A0xbce2a11def586449!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537424002!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Konark Indrayu, S No.7/1/C2,D,E,F&7/2/1-11, Kondhwa Khurd, Pune, Maharashtra 411048",411048,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d7568.43741852672!2d73.8909547!3d18.4737499!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x80b49eeb7955755%3A0x771fc5cad20553a9!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537511404!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Survey No 153/A Hissa No 1To 4, Shop No 19 -27 Magarpatta Road, Hadapsar, Pune, Maharashtra 411028",411028,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d60547.468174144036!2d73.8603123!3d18.4738382!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0xf4bffdff559ebf7%3A0x71c0332f65be0db4!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537594149!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Survey No 2/1 Bavdhan Khrud, NDA Pashan Road, Pune, Maharashtra 411021",411021,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d242189.37503548295!2d73.755243!3d18.4741906!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8ea07c74a86917d9%3A0x6086ba0c6da48e38!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537696312!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Sr No18/1,Cts No 2332 To 2337, Suyogh Mangal Karayalay, Talegaon Gen Hospital, Pune, Maharashtra 410507",410507,,Supermarket,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3778.457556718355!2d73.67397781489596!3d18.733088387285616!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8cdf0fd5e2d361b%3A0x42e32269e6f01c3c!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537821845!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Kharadi Road, Kharadi, Pune, Maharashtra",411014,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d241841.24642275606!2d73.5401177!3d18.7191361!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2c3d9b22cf343%3A0x569b2edd7290cf08!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596537911021!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Shop No. 281, Porwal Rd, Near Kamlai Dairy, Kand Nagar, Kutwal Colony, Lohegaon, Pune, Maharashtra 411047",411047,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3781.3344464373517!2d73.9074764!3d18.604021!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2c767200fee09%3A0x4daff137f655a09d!2sMore%20supermarket!5e0!3m2!1sen!2sin!4v1596538011040!5m2!1sen!2sin
MORE SUPERMARKET,BARAMATI,MAHARASHTRA,"Baramati Bhigwan Road, Pushpak Apartment, Baramati, Maharashtra 413102",413102,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15163.60957941606!2d74.5884874!3d18.1684097!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x8a9df57e04c1137%3A0x21c2229ecd7bd831!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596538129365!5m2!1sen!2sin
MORE SUPERMARKET,HUBLI,NORTH KARNATAKA,"31, Gokul Rd, Silver Town, Basaveshvar Nagar, Hubli, Karnataka 580030",580030,6366236958,Supermarket,8:00 a.m. to 9 p.m.,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3847.44895768635!2d75.0969979!3d15.352153!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bb8d6dba0273fc1%3A0xa28956092a773457!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596703757135!5m2!1sen!2sin
MORE SUPERMARKET,PUNE,MAHARASHTRA,"Hotel Golden Palm Cts No 82/24 Shastri Nagar, Pune, Maharashtra 411038",411038,,Supermarket,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3783.583455124485!2d73.80053751489254!3d18.502517887419415!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bc2bfb627ae2957%3A0x4e40ce5190b3aceb!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596538387732!5m2!1sen!2sin
MORE SUPERMARKET,AURANGABAD,MAHARASHTRA,"Plot No 90 CTS No 16035 A, 66, Darga Rd, Jyoti Nagar, Aurangabad, Maharashtra 431005",431005,,Supermarket,,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3752.4861745954668!2d75.3331282149135!3d19.861682586642004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bdb9858c3ffffff%3A0xe66c2349e0a25c52!2sMore%20Supermarket!5e0!3m2!1sen!2sin!4v1596538539928!5m2!1sen!2sin
MORE SUPERMARKET,AURANGABAD,MAHARASHTRA,"CIDCO Cannought, M G M, Aurangabad, Maharashtra 431003",431003,,Supermarket,,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d15008.005295958174!2d75.3444473!3d19.882166!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bdba292fa4e18d9%3A0x7f27e7d5e29ff793!2sMore!5e0!3m2!1sen!2sin!4v1596538656102!5m2!1sen!2sin
